,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,10802,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19613731.0,19613731.0,False,,1,,,,2024-01-31T04:13:00.000Z,42957.812820538595,22877065113.923527,2.306,0.16729299,-1.35649072,8.57193735,1.41172559,10.76270096,20.66326776,842562985010.3953,51.0071,902114069231.31,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:14:00.284458
1,1027,Ethereum,ETH,ethereum,8346,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120182821.04902385,120182821.04902385,True,,2,,,,2024-01-31T04:13:00.000Z,2343.52701800486,10323318627.943848,11.2461,0.16861054,1.32685732,5.88067091,2.91066233,11.93932678,25.97294204,281651688228.4306,17.0507,281651688228.43,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:14:00.284458
2,825,Tether USDt,USDT,tether,73575,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96199943447.84976,99600769237.96013,True,,3,,,,2024-01-31T04:12:00.000Z,0.9995326723530688,40997830371.78111,8.2612,-0.01661124,-0.03115757,0.01479228,-0.0545627,-0.09223818,-0.12533954,96154986554.64336,5.8213,99554223044.84,,2024-01-31T04:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-31 15:14:00.284458
3,1839,BNB,BNB,bnb,2045,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149547114.71549386,149547114.71549386,False,,4,,,,2024-01-31T04:12:00.000Z,306.892843727175,765199955.9734048,-8.6912,-0.00361442,-1.42241328,3.35219224,-1.08386357,33.79976736,33.01559455,45894939306.231964,2.7783,45894939306.23,,2024-01-31T04:12:00.000Z,,,,,,2024-01-31 15:14:00.284458
4,5426,Solana,SOL,solana,620,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,435752310.91212547,568387060.7455424,True,,5,,,,2024-01-31T04:13:00.000Z,100.82800074198686,3489697494.80904,26.15,0.27953815,-1.33635785,20.86700675,-2.55219717,65.12198714,135.78334007,43936034327.970276,2.6597,57309330982.59,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:14:00.284458
5,52,XRP,XRP,xrp,1219,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54374512255.0,99987956150.0,False,,6,,,,2024-01-31T04:13:00.000Z,0.5104726200947607,1763540756.5146472,93.3525,0.30927774,-5.03003703,-0.76164935,-16.79854516,-16.73815672,-16.50458909,27756699737.184525,1.6803,51047262009.48,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:14:00.284458
6,3408,USDC,USDC,usd-coin,16464,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26696097516.46061,26696097516.46061,False,,7,,,,2024-01-31T04:13:00.000Z,1.0001289263514328,5769729771.713428,12.6397,0.00315804,0.02022851,0.0072223,-0.01335569,0.01737899,0.01171096,26699539346.9109,1.6162,26699539346.91,,2024-01-31T04:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-31 15:14:00.284458
7,2010,Cardano,ADA,cardano,1050,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35423502481.959,36585743945.107,False,,8,,,,2024-01-31T04:12:00.000Z,0.5116725851979995,459158327.09124035,-9.4842,0.02131883,-3.63813734,9.93431556,-14.30255016,32.45995323,65.08577544,18125235091.71171,1.0971,23025266333.91,,2024-01-31T04:12:00.000Z,,,,,,2024-01-31 15:14:00.284458
8,5805,Avalanche,AVAX,avalanche,653,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367068682.2199238,435101592.2199238,False,,9,,,,2024-01-31T04:12:00.000Z,34.92945596522605,672923099.3509182,0.334,-0.19746778,-2.57563808,18.19120644,-9.55894597,58.36086516,183.1547374,12821509371.81438,0.7762,25149208294.96,,2024-01-31T04:12:00.000Z,,,,,,2024-01-31 15:14:00.284458
9,74,Dogecoin,DOGE,dogecoin,886,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142874726383.70523,142874726383.70523,True,,10,,,,2024-01-31T04:13:00.000Z,0.08016251208884094,326659241.8817018,-41.8286,0.22857792,-2.01571269,2.44409532,-10.23455441,-4.91545853,15.2374612,11453196980.923613,0.6934,11453196980.92,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:14:00.284458
